"Port-level Imports"
"Current date: 04/04/2017 3:20 PM (Eastern Daylight Time)"
"Port","Commodity","Country","Time","Customs Containerized Vessel Value (Gen) ($US)","Containerized Vessel SWT (Gen) (kg)",
"Total All Ports","Total All Commodities","World Total","2003","359,681,892,629","115,976,319,327"
"Total All Ports","Total All Commodities","World Total","2004","413,689,622,769","125,826,431,302"
"Total All Ports","Total All Commodities","World Total","2005","466,395,510,200","139,329,098,369"
"Total All Ports","Total All Commodities","World Total","2006","511,373,813,246","146,991,945,553"
"Total All Ports","Total All Commodities","World Total","2007","551,241,540,615","145,603,192,745"
"Total All Ports","Total All Commodities","World Total","2008","580,740,369,876","137,190,823,301"
"Total All Ports","Total All Commodities","World Total","2009","474,080,441,062","112,319,136,020"
"Total All Ports","Total All Commodities","World Total","2010","561,340,127,188","129,445,679,830"
"Total All Ports","Total All Commodities","World Total","2011","635,450,912,275","136,673,947,652"
"Total All Ports","Total All Commodities","World Total","2012","683,210,809,022","143,408,564,531"
"Total All Ports","Total All Commodities","World Total","2013","691,672,679,093","143,141,519,668"
"Total All Ports","Total All Commodities","World Total","2014","723,870,497,578","154,556,630,499"
"Total All Ports","Total All Commodities","World Total","2015","735,246,454,200","164,131,257,592"
"Total All Ports","Total All Commodities","World Total","2016","717,993,476,921","162,997,329,765"
"Total All Ports","Total All Commodities","World Total","2017 through February","114,884,416,248","27,149,923,221"
"Total All Ports","Total All Commodities","Asia","2003","240,816,901,024","55,728,975,604"
"Total All Ports","Total All Commodities","Asia","2004","280,666,761,840","65,209,455,145"
"Total All Ports","Total All Commodities","Asia","2005","319,154,414,216","74,401,358,946"
"Total All Ports","Total All Commodities","Asia","2006","355,459,156,211","84,438,603,311"
"Total All Ports","Total All Commodities","Asia","2007","385,983,473,340","85,813,075,539"
"Total All Ports","Total All Commodities","Asia","2008","407,770,407,976","81,631,516,450"
"Total All Ports","Total All Commodities","Asia","2009","336,897,352,510","65,851,173,024"
"Total All Ports","Total All Commodities","Asia","2010","405,886,783,976","77,715,163,810"
"Total All Ports","Total All Commodities","Asia","2011","451,814,255,219","80,335,229,546"
"Total All Ports","Total All Commodities","Asia","2012","484,233,530,774","83,761,177,165"
"Total All Ports","Total All Commodities","Asia","2013","490,693,971,119","85,985,922,408"
"Total All Ports","Total All Commodities","Asia","2014","507,796,425,046","93,005,391,644"
"Total All Ports","Total All Commodities","Asia","2015","520,653,079,127","97,378,147,551"
"Total All Ports","Total All Commodities","Asia","2016","511,756,937,434","97,685,180,549"
"Total All Ports","Total All Commodities","Asia","2017 through February","82,642,881,301","16,441,900,209"
"Total All Ports","Total All Commodities","Asia Near East","2003","3,418,548,630","1,297,850,819"
"Total All Ports","Total All Commodities","Asia Near East","2004","4,098,335,715","1,566,760,038"
"Total All Ports","Total All Commodities","Asia Near East","2005","4,674,126,116","1,434,589,748"
"Total All Ports","Total All Commodities","Asia Near East","2006","5,201,293,626","1,505,573,290"
"Total All Ports","Total All Commodities","Asia Near East","2007","5,386,465,048","1,522,812,896"
"Total All Ports","Total All Commodities","Asia Near East","2008","5,967,477,306","1,851,298,941"
"Total All Ports","Total All Commodities","Asia Near East","2009","6,023,434,983","1,537,652,075"
"Total All Ports","Total All Commodities","Asia Near East","2010","6,887,997,465","1,514,480,207"
"Total All Ports","Total All Commodities","Asia Near East","2011","8,375,314,347","1,663,044,994"
"Total All Ports","Total All Commodities","Asia Near East","2012","8,542,538,268","2,007,836,353"
"Total All Ports","Total All Commodities","Asia Near East","2013","9,043,550,059","2,325,927,117"
"Total All Ports","Total All Commodities","Asia Near East","2014","8,563,133,957","3,183,514,688"
"Total All Ports","Total All Commodities","Asia Near East","2015","11,404,216,734","3,193,300,392"
"Total All Ports","Total All Commodities","Asia Near East","2016","9,952,940,171","2,690,913,443"
"Total All Ports","Total All Commodities","Asia Near East","2017 through February","1,512,712,842","473,214,772"
"Total All Ports","Total All Commodities","Asia - South","2003","11,377,288,465","3,446,981,356"
"Total All Ports","Total All Commodities","Asia - South","2004","13,362,531,999","3,891,660,139"
"Total All Ports","Total All Commodities","Asia - South","2005","15,866,423,322","4,617,442,371"
"Total All Ports","Total All Commodities","Asia - South","2006","18,395,635,182","4,990,204,604"
"Total All Ports","Total All Commodities","Asia - South","2007","19,566,755,976","4,887,527,793"
"Total All Ports","Total All Commodities","Asia - South","2008","21,580,205,276","4,873,740,046"
"Total All Ports","Total All Commodities","Asia - South","2009","18,223,516,005","4,046,708,792"
"Total All Ports","Total All Commodities","Asia - South","2010","22,080,396,033","4,872,946,778"
"Total All Ports","Total All Commodities","Asia - South","2011","27,151,369,588","5,485,859,168"
"Total All Ports","Total All Commodities","Asia - South","2012","30,988,579,949","5,824,382,053"
"Total All Ports","Total All Commodities","Asia - South","2013","30,058,853,942","5,745,698,107"
"Total All Ports","Total All Commodities","Asia - South","2014","32,045,143,044","6,714,873,907"
"Total All Ports","Total All Commodities","Asia - South","2015","33,560,597,649","7,223,053,766"
"Total All Ports","Total All Commodities","Asia - South","2016","32,236,162,518","7,039,891,847"
"Total All Ports","Total All Commodities","Asia - South","2017 through February","5,400,597,442","1,250,328,092"
"Total All Ports","Total All Commodities","Asia - Other","2003","226,057,783,933","51,000,034,110"
"Total All Ports","Total All Commodities","Asia - Other","2004","263,236,865,021","59,767,807,683"
"Total All Ports","Total All Commodities","Asia - Other","2005","298,644,516,059","68,371,431,919"
"Total All Ports","Total All Commodities","Asia - Other","2006","331,896,883,838","78,003,423,869"
"Total All Ports","Total All Commodities","Asia - Other","2007","361,054,933,031","79,424,908,917"
"Total All Ports","Total All Commodities","Asia - Other","2008","380,238,253,899","74,917,607,440"
"Total All Ports","Total All Commodities","Asia - Other","2009","312,662,468,551","60,272,092,812"
"Total All Ports","Total All Commodities","Asia - Other","2010","376,935,537,515","71,335,829,133"
"Total All Ports","Total All Commodities","Asia - Other","2011","416,307,778,099","73,194,722,504"
"Total All Ports","Total All Commodities","Asia - Other","2012","444,715,729,425","75,934,920,102"
"Total All Ports","Total All Commodities","Asia - Other","2013","451,599,216,014","77,917,733,811"
"Total All Ports","Total All Commodities","Asia - Other","2014","467,194,880,640","83,110,557,949"
"Total All Ports","Total All Commodities","Asia - Other","2015","475,693,410,627","86,964,767,748"
"Total All Ports","Total All Commodities","Asia - Other","2016","469,574,168,919","87,958,450,880"
"Total All Ports","Total All Commodities","Asia - Other","2017 through February","75,730,510,643","14,718,987,333"
"Total All Ports","Total All Commodities","Europe","2003","78,015,611,156","24,887,456,305"
"Total All Ports","Total All Commodities","Europe","2004","87,207,979,198","26,820,452,075"
"Total All Ports","Total All Commodities","Europe","2005","97,053,803,389","28,431,600,586"
"Total All Ports","Total All Commodities","Europe","2006","103,585,503,302","28,274,787,953"
"Total All Ports","Total All Commodities","Europe","2007","112,056,413,037","25,813,523,214"
"Total All Ports","Total All Commodities","Europe","2008","119,331,921,582","25,133,894,024"
"Total All Ports","Total All Commodities","Europe","2009","93,158,070,298","19,784,409,997"
"Total All Ports","Total All Commodities","Europe","2010","104,690,575,351","23,619,712,518"
"Total All Ports","Total All Commodities","Europe","2011","121,487,380,634","25,809,903,163"
"Total All Ports","Total All Commodities","Europe","2012","136,102,362,718","28,067,467,948"
"Total All Ports","Total All Commodities","Europe","2013","138,811,705,191","26,812,037,095"
"Total All Ports","Total All Commodities","Europe","2014","150,659,388,585","29,124,064,755"
"Total All Ports","Total All Commodities","Europe","2015","149,259,491,202","30,702,516,151"
"Total All Ports","Total All Commodities","Europe","2016","143,338,155,635","30,604,041,572"
"Total All Ports","Total All Commodities","Europe","2017 through February","21,991,512,490","4,992,199,807"
"Anchorage, AK (District)","Total All Commodities","World Total","2003","3,908,242","35,287,974"
"Anchorage, AK (District)","Total All Commodities","World Total","2004","19,447,686","26,134,555"
"Anchorage, AK (District)","Total All Commodities","World Total","2005","9,144,582","7,400,982"
"Anchorage, AK (District)","Total All Commodities","World Total","2006","4,450,053","6,647,816"
"Anchorage, AK (District)","Total All Commodities","World Total","2007","5,931,502","12,651,857"
"Anchorage, AK (District)","Total All Commodities","World Total","2008","14,810,791","50,330,244"
"Anchorage, AK (District)","Total All Commodities","World Total","2009","13,270,723","22,093,298"
"Anchorage, AK (District)","Total All Commodities","World Total","2010","20,350,786","23,614,790"
"Anchorage, AK (District)","Total All Commodities","World Total","2011","34,138,329","28,519,027"
"Anchorage, AK (District)","Total All Commodities","World Total","2012","51,869,356","33,946,613"
"Anchorage, AK (District)","Total All Commodities","World Total","2013","40,880,191","36,571,241"
"Anchorage, AK (District)","Total All Commodities","World Total","2014","38,602,175","42,110,971"
"Anchorage, AK (District)","Total All Commodities","World Total","2015","50,338,995","44,312,337"
"Anchorage, AK (District)","Total All Commodities","World Total","2016","46,132,738","45,710,639"
"Anchorage, AK (District)","Total All Commodities","World Total","2017 through February","7,154,521","7,092,356"
"Anchorage, AK (District)","Total All Commodities","Asia","2003","2,883,223","1,872,222"
"Anchorage, AK (District)","Total All Commodities","Asia","2004","6,735,959","5,032,748"
"Anchorage, AK (District)","Total All Commodities","Asia","2005","5,495,007","3,530,796"
"Anchorage, AK (District)","Total All Commodities","Asia","2006","2,499,487","1,372,571"
"Anchorage, AK (District)","Total All Commodities","Asia","2007","1,722,284","1,418,182"
"Anchorage, AK (District)","Total All Commodities","Asia","2008","4,682,997","24,130,516"
"Anchorage, AK (District)","Total All Commodities","Asia","2009","3,108,954","2,475,139"
"Anchorage, AK (District)","Total All Commodities","Asia","2010","5,466,465","4,466,517"
"Anchorage, AK (District)","Total All Commodities","Asia","2011","23,707,296","14,893,668"
"Anchorage, AK (District)","Total All Commodities","Asia","2012","24,119,046","12,949,623"
"Anchorage, AK (District)","Total All Commodities","Asia","2013","17,209,117","10,173,378"
"Anchorage, AK (District)","Total All Commodities","Asia","2014","16,655,299","10,213,081"
"Anchorage, AK (District)","Total All Commodities","Asia","2015","32,971,437","18,142,914"
"Anchorage, AK (District)","Total All Commodities","Asia","2016","28,177,220","15,644,862"
"Anchorage, AK (District)","Total All Commodities","Asia","2017 through February","4,285,922","2,871,631"
"Anchorage, AK (District)","Total All Commodities","Asia Near East","2016","142,923","133,900"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2003","19,726","20,125"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2004","19,110","40,388"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2006","3,572","13,030"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2009","4,406","162"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2010","564,776","256,771"
"Anchorage, AK (District)","Total All Commodities","Asia - South","2016","21,044","1,980"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2003","2,863,497","1,852,097"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2004","6,716,849","4,992,360"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2005","5,495,007","3,530,796"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2006","2,495,915","1,359,541"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2007","1,722,284","1,418,182"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2008","4,682,997","24,130,516"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2009","3,104,548","2,474,977"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2010","4,901,689","4,209,746"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2011","23,707,296","14,893,668"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2012","24,119,046","12,949,623"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2013","17,209,117","10,173,378"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2014","16,655,299","10,213,081"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2015","32,971,437","18,142,914"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2016","28,013,253","15,508,982"
"Anchorage, AK (District)","Total All Commodities","Asia - Other","2017 through February","4,285,922","2,871,631"
"Anchorage, AK (District)","Total All Commodities","Europe","2003","199,166","152,584"
"Anchorage, AK (District)","Total All Commodities","Europe","2004","1,515,061","654,707"
"Anchorage, AK (District)","Total All Commodities","Europe","2005","1,493,697","826,517"
"Anchorage, AK (District)","Total All Commodities","Europe","2006","37,986","20,500"
"Anchorage, AK (District)","Total All Commodities","Europe","2007","245,167","138,350"
